D (kpc); R (kpc); V_r (km/s)
0.0   | 8.2   | 0.0
0.254 | 8.022 | 3.682
0.508 | 7.849 | 7.438
0.763 | 7.68  | 11.259
1.017 | 7.515 | 15.137
1.271 | 7.356 | 19.059
1.525 | 7.203 | 23.011
1.78  | 7.055 | 26.976
2.034 | 6.913 | 30.934
2.288 | 6.778 | 34.862
2.542 | 6.65  | 38.735
2.797 | 6.529 | 42.523
3.051 | 6.416 | 46.196
3.305 | 6.312 | 49.718
3.559 | 6.216 | 53.054
3.814 | 6.129 | 56.166
4.068 | 6.051 | 59.015
4.322 | 5.983 | 61.565
4.576 | 5.926 | 63.779
4.831 | 5.878 | 65.623
5.085 | 5.842 | 67.071
5.339 | 5.816 | 68.096
5.593 | 5.802 | 68.683
5.847 | 5.798 | 68.821
6.102 | 5.806 | 68.509
6.356 | 5.825 | 67.751
6.61  | 5.855 | 66.559
6.864 | 5.895 | 64.955
7.119 | 5.947 | 62.964
7.373 | 6.008 | 60.616
7.627 | 6.08  | 57.946
7.881 | 6.161 | 54.991
8.136 | 6.252 | 51.788
8.39  | 6.351 | 48.375
8.644 | 6.459 | 44.791
8.898 | 6.575 | 41.07
9.153 | 6.699 | 37.245
9.407 | 6.829 | 33.348
9.661 | 6.967 | 29.405
9.915 | 7.111 | 25.442
10.169| 7.261 | 21.48
10.424| 7.417 | 17.537
10.678| 7.578 | 13.631
10.932| 7.744 | 9.774
11.186| 7.915 | 5.976
11.441| 8.091 | 2.248
11.695| 8.27  | -1.403
11.949| 8.453 | -4.974
12.203| 8.64  | -8.458
12.458| 8.83  | -11.854
12.712| 9.023 | -15.16
12.966| 9.219 | -18.374
13.22 | 9.418 | -21.497
13.475| 9.62  | -24.529
13.729| 9.824 | -27.471
13.983| 10.03 | -30.325
14.237| 10.239| -33.091
14.492| 10.45 | -35.772
14.746| 10.662| -38.371
15.0  | 10.876| -40.888
